amount,txn_type,login_freq,sess_dur,pattern,age,anomaly
72.08686522654847,sale,8,117,high_value,veteran,low_risk
663.3810364013048,transfer,3,62,focused,established,low_risk
447.79216505783927,phishing,1,23,random,new,high_risk
843.2710794899215,purchase,3,55,focused,established,low_risk
364.81220481151644,transfer,3,71,focused,established,low_risk
861.3618746010409,purchase,5,78,focused,established,low_risk
193.5076261307015,purchase,1,21,random,new,low_risk
564.698739844385,purchase,5,54,focused,established,low_risk
727.875270979562,transfer,7,80,high_value,veteran,low_risk
263.55846723330376,purchase,5,56,focused,established,low_risk
537.4140166967359,transfer,1,24,random,new,low_risk
458.39033809663874,transfer,6,144,high_value,veteran,low_risk
712.6829186336213,sale,1,28,random,new,low_risk
448.3177794214765,sale,7,122,high_value,veteran,low_risk
572.3345259656751,sale,6,149,high_value,veteran,low_risk
606.7132038610071,purchase,3,74,focused,established,low_risk
364.7256335183407,transfer,7,132,high_value,veteran,low_risk
974.6663251048487,purchase,4,61,focused,established,low_risk
431.1585187222947,transfer,6,106,high_value,veteran,low_risk
656.8146192476773,purchase,3,65,focused,established,low_risk
504.90762285662777,sale,2,34,random,new,low_risk
928.7745597367546,sale,8,134,high_value,veteran,moderate_risk
328.639607481211,purchase,3,50,focused,established,low_risk
556.3110220474639,purchase,4,71,focused,established,low_risk
277.8836228188288,transfer,3,57,focused,established,low_risk
173.76024535913052,transfer,8,128,high_value,veteran,low_risk
523.1136834339366,purchase,1,29,random,new,low_risk
313.76985331997804,scam,2,26,random,new,high_risk
0.01,transfer,3,42,focused,established,low_risk
0.01,sale,2,24,random,new,low_risk
377.2545730696109,transfer,5,65,focused,established,low_risk
770.8024862685904,sale,7,115,high_value,veteran,moderate_risk
534.5932918033418,transfer,6,98,high_value,veteran,low_risk
499.55788075618995,transfer,2,30,random,new,low_risk
492.0643191459141,sale,6,138,high_value,veteran,low_risk
432.236370847121,purchase,1,28,random,new,low_risk
811.8462664889163,transfer,6,111,high_value,veteran,low_risk
830.3540031121545,purchase,3,73,focused,established,low_risk
553.3322750482869,sale,8,100,high_value,veteran,low_risk
643.0406851937184,transfer,2,32,random,new,low_risk
1036.862149829311,purchase,4,45,focused,established,low_risk
345.6373193627045,sale,7,91,high_value,veteran,low_risk
433.3342463657427,sale,7,90,high_value,veteran,low_risk
362.225164173449,purchase,3,51,focused,established,low_risk
281.2071790940561,transfer,6,87,high_value,veteran,low_risk
558.8449282548612,sale,2,30,random,new,low_risk
533.8031992389448,purchase,3,52,focused,established,low_risk
699.1145965503349,sale,6,133,high_value,veteran,low_risk
697.5371751919054,purchase,2,38,random,new,low_risk
894.882859832786,transfer,1,39,random,new,low_risk
530.3340090711575,phishing,2,37,random,new,high_risk
473.25123284544196,purchase,1,21,random,new,low_risk
649.2834110585982,purchase,5,57,focused,established,low_risk
200.47260664682796,purchase,4,56,focused,established,low_risk
874.3079438983862,phishing,2,32,random,new,high_risk
598.0134794827198,transfer,3,47,focused,established,low_risk
447.57748157113815,transfer,5,56,focused,established,low_risk
161.00654807875623,sale,6,143,high_value,veteran,moderate_risk
704.7880972029081,sale,7,104,high_value,veteran,moderate_risk
129.9045643339714,transfer,2,20,random,new,low_risk
504.0395585260191,purchase,5,60,focused,established,low_risk
404.3989913153608,transfer,3,79,focused,established,low_risk
583.2432878288612,transfer,1,30,random,new,low_risk
0.01,purchase,4,49,focused,established,low_risk
569.1546995972003,purchase,4,64,focused,established,low_risk
299.932406403226,transfer,6,99,high_value,veteran,low_risk
719.1079751463944,transfer,1,27,random,new,low_risk
457.3157885212165,purchase,4,44,focused,established,low_risk
418.56922216094324,purchase,3,61,focused,established,low_risk
688.7472910122789,sale,6,81,high_value,veteran,low_risk
330.95346396926493,sale,1,34,random,new,low_risk
300.75604447873843,purchase,1,24,random,new,low_risk
111.38343807564377,transfer,7,117,high_value,veteran,low_risk
434.75271935784656,purchase,4,65,focused,established,low_risk
829.7080926244162,scam,2,32,random,new,high_risk
453.0447360043223,purchase,4,78,focused,established,low_risk
824.9467559708683,transfer,2,30,random,new,low_risk
545.8043494197285,purchase,3,59,focused,established,low_risk
623.062856265588,transfer,2,28,random,new,low_risk
314.50926927009834,purchase,5,78,focused,established,low_risk
300.57741410630484,purchase,4,62,focused,established,low_risk
973.3928941514371,transfer,1,39,random,new,low_risk
575.9379392638964,purchase,4,46,focused,established,low_risk
475.3987060354279,sale,7,135,high_value,veteran,low_risk
785.3817624503088,purchase,2,22,random,new,low_risk
704.230229125442,sale,7,140,high_value,veteran,moderate_risk
385.79475800799787,transfer,7,89,high_value,veteran,low_risk
824.5059745312619,transfer,2,27,random,new,low_risk
543.9999308040226,sale,8,110,high_value,veteran,low_risk
0.01,sale,6,128,high_value,veteran,low_risk
285.71394413287703,scam,2,25,random,new,high_risk
936.49949703727,sale,7,80,high_value,veteran,moderate_risk
1351.3991745224316,transfer,1,33,random,new,low_risk
309.2843717473745,sale,8,84,high_value,veteran,moderate_risk
211.4998068899285,transfer,7,152,high_value,veteran,low_risk
440.2235252155881,transfer,1,33,random,new,low_risk
440.5819511198625,purchase,3,71,focused,established,low_risk
470.70777031393953,transfer,2,30,random,new,low_risk
355.9439821666747,transfer,1,25,random,new,low_risk
0.01,purchase,5,68,focused,established,low_risk
91.5646844930099,purchase,4,56,focused,established,low_risk
194.866999907334,sale,8,84,high_value,veteran,low_risk
359.9420202254756,transfer,3,79,focused,established,low_risk
622.3388766891312,phishing,1,31,random,new,high_risk
1114.745095470123,sale,7,130,high_value,veteran,moderate_risk
438.3412036275764,purchase,5,73,focused,established,low_risk
588.1488592188795,transfer,1,35,random,new,low_risk
490.9653376937464,transfer,8,143,high_value,veteran,low_risk
568.886863371602,transfer,2,21,random,new,low_risk
410.71600490774676,purchase,3,70,focused,established,low_risk
329.49440384979937,purchase,1,28,random,new,low_risk
285.4851432839937,purchase,5,46,focused,established,low_risk
393.74036442465314,transfer,6,98,high_value,veteran,low_risk
684.2786372681603,purchase,5,66,focused,established,low_risk
561.6002719763776,purchase,2,32,random,new,low_risk
516.5148751715166,transfer,8,91,high_value,veteran,low_risk
679.4043957097438,purchase,1,26,random,new,low_risk
0.01,sale,8,124,high_value,veteran,low_risk
470.8712598224148,scam,1,26,random,new,high_risk
210.2513363620913,sale,1,39,random,new,low_risk
700.1042765639611,sale,6,87,high_value,veteran,moderate_risk
605.6339508964364,purchase,2,23,random,new,low_risk
539.0180497963092,phishing,1,26,random,new,high_risk
265.4059165241905,sale,8,80,high_value,veteran,moderate_risk
670.6359773439035,purchase,3,79,focused,established,low_risk
512.5518471609566,purchase,2,35,random,new,low_risk
661.5038982945266,sale,2,25,random,new,low_risk
381.3730267656996,purchase,4,42,focused,established,low_risk
371.37380251729144,sale,2,21,random,new,low_risk
609.8318638326257,purchase,5,60,focused,established,low_risk
840.3242701357431,sale,6,81,high_value,veteran,moderate_risk
85.16389206411998,purchase,2,35,random,new,low_risk
0.01,sale,1,23,random,new,low_risk
338.4843651264713,purchase,3,52,focused,established,low_risk
777.0079836419516,purchase,5,46,focused,established,low_risk
69.49196391592307,transfer,1,38,random,new,low_risk
479.9390507258198,transfer,6,112,high_value,veteran,low_risk
719.9425044568561,purchase,2,21,random,new,low_risk
626.6220021120807,transfer,3,67,focused,established,low_risk
0.01,sale,7,113,high_value,veteran,low_risk
431.14688833280377,scam,2,31,random,new,high_risk
471.8701346918546,sale,6,92,high_value,veteran,moderate_risk
955.3020244740931,transfer,8,151,high_value,veteran,low_risk
693.8713908397501,sale,6,156,high_value,veteran,moderate_risk
275.17678346549053,purchase,4,75,focused,established,low_risk
290.771354604789,scam,1,37,random,new,high_risk
579.0306464786797,sale,1,38,random,new,low_risk
593.0279667396713,sale,8,103,high_value,veteran,moderate_risk
680.6001658174243,sale,7,104,high_value,veteran,low_risk
591.7630073537563,transfer,6,106,high_value,veteran,low_risk
296.16672570461265,purchase,2,25,random,new,low_risk
117.19336835486632,purchase,3,54,focused,established,low_risk
592.9528270616063,transfer,4,68,focused,established,low_risk
395.41175880862846,purchase,4,67,focused,established,low_risk
635.2562940319734,transfer,7,120,high_value,veteran,low_risk
466.33028210395366,purchase,4,58,focused,established,low_risk
341.14611888718025,sale,2,20,random,new,low_risk
550.7042200537003,transfer,6,146,high_value,veteran,low_risk
836.6501499204109,sale,7,120,high_value,veteran,moderate_risk
515.721691718059,purchase,4,55,focused,established,low_risk
139.67653452686267,purchase,3,53,focused,established,low_risk
1032.0086706490947,purchase,4,53,focused,established,low_risk
405.5937471526673,sale,1,29,random,new,low_risk
363.5025696918817,transfer,8,109,high_value,veteran,low_risk
763.9835111805021,sale,8,119,high_value,veteran,moderate_risk
0.01,sale,6,81,high_value,veteran,moderate_risk
422.2264001686926,purchase,5,66,focused,established,low_risk
346.4957185110396,transfer,1,29,random,new,low_risk
422.6581206000314,sale,8,136,high_value,veteran,low_risk
452.58905781318765,transfer,5,68,focused,established,low_risk
374.5978546773425,sale,2,32,random,new,low_risk
814.6266728426715,transfer,4,52,focused,established,low_risk
500.42550921027646,transfer,5,66,focused,established,low_risk
347.17717411702404,sale,8,159,high_value,veteran,moderate_risk
225.4020370860041,transfer,5,45,focused,established,low_risk
749.8165665964809,transfer,8,140,high_value,veteran,low_risk
637.3240860275581,transfer,1,32,random,new,low_risk
635.1007229014776,purchase,5,58,focused,established,low_risk
215.44925475926345,sale,6,118,high_value,veteran,low_risk
247.46006906013608,sale,1,35,random,new,low_risk
357.6228647286363,transfer,4,51,focused,established,low_risk
749.1895165510915,transfer,3,65,focused,established,low_risk
578.7268118569647,sale,6,103,high_value,veteran,low_risk
311.79535678530857,phishing,2,35,random,new,high_risk
773.7790002715599,purchase,5,66,focused,established,low_risk
191.33373136172025,scam,2,31,random,new,high_risk
606.9530656216411,sale,2,22,random,new,low_risk
658.1648228280354,scam,2,23,random,new,high_risk
172.1315228865006,transfer,2,31,random,new,low_risk
467.81042771331937,sale,6,159,high_value,veteran,low_risk
654.1249318670476,sale,7,154,high_value,veteran,low_risk
491.8491084520627,purchase,5,71,focused,established,low_risk
510.1029961886793,transfer,2,30,random,new,low_risk
723.1949730407437,transfer,8,141,high_value,veteran,low_risk
748.6535589360656,purchase,4,76,focused,established,low_risk
383.9241123172557,transfer,1,31,random,new,low_risk
511.3824860848822,transfer,6,87,high_value,veteran,low_risk
348.64323351669066,transfer,3,41,focused,established,low_risk
794.9160961027615,transfer,3,74,focused,established,low_risk
380.58604364400935,purchase,2,39,random,new,low_risk
484.90594677069487,scam,2,36,random,new,high_risk
436.0281074984508,sale,7,156,high_value,veteran,low_risk
136.95248600670374,transfer,5,42,focused,established,low_risk
550.8012669976116,transfer,4,74,focused,established,low_risk
293.41644136377283,purchase,3,40,focused,established,low_risk
923.4598509200187,sale,8,132,high_value,veteran,moderate_risk
352.3250775937796,sale,6,80,high_value,veteran,low_risk
0.01,purchase,3,48,focused,established,low_risk
683.1688869247243,phishing,1,27,random,new,high_risk
706.5448417091382,purchase,3,57,focused,established,low_risk
763.0498552019932,sale,7,114,high_value,veteran,moderate_risk
352.7228957339473,purchase,4,54,focused,established,low_risk
541.6182470563689,phishing,1,30,random,new,high_risk
973.8425697456807,sale,7,118,high_value,veteran,moderate_risk
156.00230139238943,sale,1,26,random,new,low_risk
419.0826994366222,transfer,8,109,high_value,veteran,low_risk
339.4607071552847,purchase,1,36,random,new,low_risk
350.6608942946849,sale,1,38,random,new,low_risk
685.675235380377,purchase,3,58,focused,established,low_risk
432.5579964083853,purchase,3,72,focused,established,low_risk
437.45416936378285,transfer,2,39,random,new,low_risk
196.9518732245832,transfer,8,115,high_value,veteran,low_risk
614.9845710203892,purchase,5,58,focused,established,low_risk
332.68521819777084,transfer,3,63,focused,established,low_risk
326.08695727355496,purchase,4,42,focused,established,low_risk
466.6420689311442,sale,6,140,high_value,veteran,low_risk
956.6408158951153,purchase,2,27,random,new,low_risk
921.5740338570224,purchase,2,23,random,new,low_risk
709.6183527046614,sale,6,120,high_value,veteran,moderate_risk
743.0455850584062,sale,8,118,high_value,veteran,moderate_risk
165.59042419191218,scam,2,21,random,new,high_risk
535.9338077066525,purchase,4,68,focused,established,low_risk
591.1060724700565,purchase,2,38,random,new,low_risk
0.01,phishing,2,37,random,new,high_risk
837.7660692863953,purchase,2,27,random,new,low_risk
720.5242618697114,purchase,1,22,random,new,low_risk
394.2132841014224,sale,6,87,high_value,veteran,moderate_risk
716.2086588900129,purchase,3,45,focused,established,low_risk
850.1401813618879,purchase,4,61,focused,established,low_risk
222.67405534426416,purchase,2,37,random,new,low_risk
590.9539026175484,phishing,1,28,random,new,high_risk
578.4378121807864,transfer,2,23,random,new,low_risk
693.0815013200464,sale,6,147,high_value,veteran,low_risk
656.9458011109762,sale,8,137,high_value,veteran,moderate_risk
873.6997708382869,purchase,4,45,focused,established,low_risk
132.98820971087127,purchase,3,49,focused,established,low_risk
675.6732520929493,purchase,5,76,focused,established,low_risk
473.9291369000437,transfer,5,42,focused,established,low_risk
890.3615425795618,purchase,5,62,focused,established,low_risk
581.816976224334,purchase,3,66,focused,established,low_risk
303.65231752119655,sale,2,29,random,new,low_risk
671.6910767807232,purchase,3,75,focused,established,low_risk
552.7967760454619,purchase,4,77,focused,established,low_risk
764.7730375147055,purchase,2,33,random,new,low_risk
826.7604684009508,sale,2,29,random,new,moderate_risk
1090.6886118057869,sale,6,156,high_value,veteran,moderate_risk
962.556745624098,purchase,4,69,focused,established,low_risk
980.4255440746952,sale,7,109,high_value,veteran,moderate_risk
792.8031153518923,purchase,2,24,random,new,low_risk
672.7933235081235,purchase,1,35,random,new,low_risk
385.34615685407624,transfer,6,80,high_value,veteran,low_risk
308.776200190679,purchase,3,58,focused,established,low_risk
759.4228230831026,sale,7,114,high_value,veteran,moderate_risk
622.9892573841142,purchase,3,43,focused,established,low_risk
374.9373110285936,purchase,5,76,focused,established,low_risk
386.0600123454875,transfer,8,94,high_value,veteran,low_risk
426.2267145224776,purchase,1,39,random,new,low_risk
753.7836229523894,transfer,2,31,random,new,low_risk
669.1025248284716,phishing,2,35,random,new,high_risk
484.35467916447163,transfer,6,118,high_value,veteran,low_risk
503.91073319440716,purchase,5,59,focused,established,low_risk
431.32645440036026,transfer,2,26,random,new,low_risk
797.5645119129649,transfer,2,36,random,new,low_risk
372.8685809116464,purchase,4,77,focused,established,low_risk
275.82418215723544,sale,6,80,high_value,veteran,low_risk
277.28022663430266,sale,2,38,random,new,low_risk
585.945719161684,transfer,7,137,high_value,veteran,low_risk
532.149751899743,purchase,4,57,focused,established,low_risk
210.91849303331207,purchase,5,74,focused,established,low_risk
339.5225930839888,purchase,1,25,random,new,low_risk
413.00087191149,scam,1,23,random,new,high_risk
260.9098439261139,purchase,1,34,random,new,low_risk
305.54785185150376,purchase,5,53,focused,established,low_risk
470.3550268969939,sale,1,27,random,new,low_risk
374.9702652280005,purchase,5,78,focused,established,low_risk
643.7557303673618,sale,2,38,random,new,low_risk
257.74113069517284,purchase,2,25,random,new,low_risk
791.1542453239215,scam,1,27,random,new,high_risk
361.73549135969904,purchase,2,29,random,new,low_risk
115.73581272082725,sale,7,95,high_value,veteran,moderate_risk
141.47063206502867,sale,8,140,high_value,veteran,moderate_risk
738.5123156203886,sale,2,34,random,new,low_risk
486.1990534804156,sale,7,119,high_value,veteran,low_risk
636.1868579748968,transfer,2,31,random,new,low_risk
802.4102588474376,sale,7,88,high_value,veteran,moderate_risk
246.22363925800371,transfer,5,51,focused,established,low_risk
585.4564811086362,sale,6,114,high_value,veteran,moderate_risk
248.7710947164269,purchase,3,46,focused,established,low_risk
305.01411714838355,sale,7,80,high_value,veteran,low_risk
835.894756029382,scam,1,26,random,new,high_risk
443.66645601881055,sale,6,145,high_value,veteran,low_risk
586.4218005475128,sale,7,122,high_value,veteran,low_risk
384.3523550498859,sale,7,148,high_value,veteran,low_risk
443.59286662200714,purchase,3,54,focused,established,low_risk
817.729417854466,purchase,5,60,focused,established,low_risk
550.9432907327387,phishing,1,20,random,new,high_risk
0.01,scam,1,22,random,new,high_risk
413.3506357506716,sale,7,90,high_value,veteran,low_risk
696.8291186417916,transfer,2,39,random,new,low_risk
11.840880408003386,sale,8,92,high_value,veteran,low_risk
870.543568355151,sale,8,154,high_value,veteran,moderate_risk
489.50689313894594,purchase,4,42,focused,established,low_risk
313.1434343121598,transfer,6,114,high_value,veteran,low_risk
437.50601095681174,transfer,2,22,random,new,low_risk
548.9177445657866,sale,8,106,high_value,veteran,low_risk
209.8356745469419,phishing,2,32,random,new,high_risk
580.5401520767998,transfer,8,93,high_value,veteran,low_risk
361.37409101043613,transfer,4,48,focused,established,low_risk
758.0970664496956,transfer,3,40,focused,established,low_risk
337.51532396757324,sale,6,158,high_value,veteran,low_risk
442.65905144956,sale,6,151,high_value,veteran,moderate_risk
727.8718224220086,transfer,6,151,high_value,veteran,low_risk
840.4811277988026,purchase,4,65,focused,established,low_risk
593.666169346893,purchase,5,56,focused,established,low_risk
888.9740389482358,purchase,5,51,focused,established,low_risk
598.0468786190713,purchase,4,43,focused,established,low_risk
437.1258789073703,purchase,3,47,focused,established,low_risk
590.6653565892517,purchase,3,56,focused,established,low_risk
275.47867493249714,purchase,1,28,random,new,low_risk
135.81194343392048,transfer,8,114,high_value,veteran,low_risk
365.0280018214579,sale,7,139,high_value,veteran,low_risk
260.3087566491448,transfer,7,134,high_value,veteran,low_risk
524.9380887987279,transfer,2,37,random,new,low_risk
725.4882243018038,sale,6,137,high_value,veteran,moderate_risk
506.17965728502674,purchase,5,64,focused,established,low_risk
141.4471803303344,transfer,7,106,high_value,veteran,low_risk
525.0046026321168,sale,6,125,high_value,veteran,low_risk
294.64783795134883,transfer,4,74,focused,established,low_risk
178.7839570525834,purchase,3,53,focused,established,low_risk
319.3302073226931,purchase,4,54,focused,established,low_risk
197.81901441504715,purchase,3,69,focused,established,low_risk
688.6893273050631,purchase,3,46,focused,established,low_risk
683.2219456503224,sale,8,108,high_value,veteran,moderate_risk
592.7230235429543,transfer,8,135,high_value,veteran,low_risk
637.4770706726506,purchase,4,61,focused,established,low_risk
857.1685222154474,transfer,7,151,high_value,veteran,low_risk
503.7454402800506,sale,1,28,random,new,low_risk
1173.81971854743,purchase,3,56,focused,established,low_risk
326.6721190200988,transfer,3,72,focused,established,low_risk
398.05420519467197,purchase,3,44,focused,established,low_risk
376.309387241384,purchase,5,65,focused,established,low_risk
695.6119647478453,transfer,3,43,focused,established,low_risk
877.315704157595,sale,2,32,random,new,low_risk
0.01,transfer,5,73,focused,established,low_risk
758.9884006323341,sale,8,102,high_value,veteran,moderate_risk
189.8345643528737,transfer,2,32,random,new,low_risk
742.9802683683063,sale,1,29,random,new,low_risk
687.8318273733892,purchase,4,63,focused,established,low_risk
795.8987495895981,purchase,4,69,focused,established,low_risk
1271.9766555840574,purchase,2,36,random,new,low_risk
473.9812701826386,sale,7,111,high_value,veteran,low_risk
427.8756663472209,sale,6,102,high_value,veteran,low_risk
646.2409591790396,transfer,6,88,high_value,veteran,low_risk
636.056468782752,transfer,2,23,random,new,low_risk
421.85635540634746,transfer,1,23,random,new,low_risk
501.52579304724276,purchase,4,63,focused,established,low_risk
484.1694286215176,purchase,5,52,focused,established,low_risk
808.043728285807,sale,1,23,random,new,low_risk
909.4423307570681,transfer,7,149,high_value,veteran,low_risk
596.9730262137826,sale,1,25,random,new,low_risk
537.9904533160427,purchase,4,56,focused,established,low_risk
888.4181640986045,transfer,2,35,random,new,low_risk
419.6436761647733,sale,8,116,high_value,veteran,moderate_risk
324.3483709769714,transfer,8,111,high_value,veteran,low_risk
455.3717113728711,purchase,3,43,focused,established,low_risk
482.81876887852593,sale,6,158,high_value,veteran,low_risk
1048.0731194133132,sale,8,118,high_value,veteran,moderate_risk
812.8298077053796,sale,2,28,random,new,low_risk
599.7305324364813,sale,1,30,random,new,low_risk
330.17446455795454,sale,8,131,high_value,veteran,low_risk
635.5650007704241,scam,2,35,random,new,high_risk
394.98859577915584,transfer,6,138,high_value,veteran,low_risk
751.6156219527545,phishing,1,29,random,new,high_risk
446.9939131142743,transfer,4,52,focused,established,low_risk
219.10737580148617,phishing,1,29,random,new,high_risk
635.0960373587135,transfer,8,135,high_value,veteran,low_risk
528.625486434717,purchase,1,29,random,new,low_risk
739.4305985707425,transfer,6,107,high_value,veteran,low_risk
594.5684567970945,purchase,1,38,random,new,low_risk
340.64486953261985,sale,6,83,high_value,veteran,low_risk
778.1064908219998,purchase,1,34,random,new,low_risk
587.0619362794616,sale,8,80,high_value,veteran,low_risk
525.6363270700853,transfer,7,116,high_value,veteran,low_risk
539.1993551936563,purchase,4,56,focused,established,low_risk
842.9653640715333,purchase,3,59,focused,established,low_risk
376.3203182681379,purchase,4,74,focused,established,low_risk
133.14579462761708,purchase,2,30,random,new,low_risk
0.01,transfer,2,24,random,new,low_risk
483.41438314446253,sale,7,115,high_value,veteran,low_risk
463.237019382147,sale,7,99,high_value,veteran,low_risk
906.4159656310246,transfer,8,85,high_value,veteran,low_risk
897.0932921757044,purchase,5,75,focused,established,low_risk
397.92234425509616,transfer,4,65,focused,established,low_risk
210.13208058125286,transfer,1,30,random,new,low_risk
0.01,scam,1,21,random,new,high_risk
1197.1921463445678,sale,1,24,random,new,moderate_risk
0.01,sale,8,125,high_value,veteran,low_risk
251.25005988317213,sale,8,141,high_value,veteran,low_risk
377.8429596954607,transfer,4,74,focused,established,low_risk
727.2937555646573,sale,8,138,high_value,veteran,moderate_risk
636.3575076039255,transfer,2,34,random,new,low_risk
0.01,purchase,5,60,focused,established,low_risk
842.3313786734427,sale,7,134,high_value,veteran,moderate_risk
412.24491408739607,purchase,4,43,focused,established,low_risk
273.4635190164773,sale,8,136,high_value,veteran,low_risk
425.50367900867326,sale,8,91,high_value,veteran,low_risk
285.23086224769804,purchase,3,51,focused,established,low_risk
53.685687950932675,sale,6,146,high_value,veteran,moderate_risk
300.0627691785807,purchase,3,40,focused,established,low_risk
337.47800075377586,sale,2,28,random,new,low_risk
159.70066707604587,sale,2,35,random,new,low_risk
801.816699391773,sale,6,111,high_value,veteran,moderate_risk
474.45442659402596,purchase,5,67,focused,established,low_risk
29.78726251620077,sale,8,153,high_value,veteran,moderate_risk
451.9206738932901,transfer,6,90,high_value,veteran,low_risk
237.69763601807745,purchase,4,73,focused,established,low_risk
253.04637623855993,purchase,2,21,random,new,low_risk
497.4427783309795,sale,7,102,high_value,veteran,low_risk
433.2996734914362,purchase,3,40,focused,established,low_risk
478.77506169473924,transfer,6,153,high_value,veteran,low_risk
615.4550509547018,purchase,2,32,random,new,low_risk
447.44834586210106,scam,1,26,random,new,high_risk
227.9253613622838,phishing,2,33,random,new,high_risk
788.5628865954136,purchase,5,41,focused,established,low_risk
805.9680756180258,transfer,5,79,focused,established,low_risk
91.22694092412183,transfer,8,143,high_value,veteran,low_risk
758.779525473342,purchase,3,76,focused,established,low_risk
530.9569561237075,sale,1,38,random,new,low_risk
412.59766921011044,sale,7,143,high_value,veteran,low_risk
324.82279298932633,transfer,8,151,high_value,veteran,low_risk
234.05279215557107,purchase,1,27,random,new,low_risk
799.08404430258,transfer,4,58,focused,established,low_risk
861.2070156554797,transfer,3,53,focused,established,low_risk
329.7949810256574,transfer,2,29,random,new,low_risk
506.0679287677533,purchase,5,60,focused,established,low_risk
828.0403495869264,sale,1,36,random,new,moderate_risk
778.363261355682,transfer,8,110,high_value,veteran,low_risk
754.9240194746757,purchase,2,31,random,new,low_risk
575.2695287616903,purchase,2,27,random,new,low_risk
805.5438852010267,sale,8,153,high_value,veteran,moderate_risk
802.778127996183,scam,2,24,random,new,high_risk
872.5698059417042,sale,1,35,random,new,moderate_risk
294.83222693932015,transfer,4,40,focused,established,low_risk
688.5917081832226,sale,6,156,high_value,veteran,low_risk
364.5975262651382,purchase,4,53,focused,established,low_risk
661.1326852333827,purchase,5,43,focused,established,low_risk
321.04731264304667,scam,1,39,random,new,high_risk
609.5314129134003,purchase,2,24,random,new,low_risk
0.01,sale,1,39,random,new,low_risk
502.41773795310024,sale,7,132,high_value,veteran,moderate_risk
239.81341126151625,sale,8,101,high_value,veteran,low_risk
670.4012098878507,sale,1,36,random,new,low_risk
545.5901712665017,sale,7,137,high_value,veteran,low_risk
500.0626659470074,purchase,3,56,focused,established,low_risk
233.75181573604226,sale,6,131,high_value,veteran,low_risk
392.00833867708315,purchase,3,44,focused,established,low_risk
686.9731820654266,transfer,8,122,high_value,veteran,low_risk
